0	72	335	299	1279	599	17	1700	35	96	542	1503	58	576	63	515	1707	360	348	291	43	1679	760	2134	1268	657	2432	1237	345	22	1582	1047	2032	1396	557	23	196	1327	1258	118	528	408	1138	10	2253	480	101	1468	1494	1650	1315	
1	10	324	515	400	272	914	118	64	1280	20	1088	253	494	467	917	505	21	1292	196	217	174	704	17	1071	72	116	856	360	60	517	986	206	1222	659	1356	778	918	123	74	627	28	227	1344	309	44	831	1427	2924	158	2083	
2	217	49	174	104	404	1043	1103	1139	192	478	878	641	700	91	846	487	621	850	513	282	918	779	144	877	503	429	596	234	749	909	206	1279	45	535	132	53	504	161	1033	493	195	101	1127	916	482	1112	331	10	755	32	
3	21	785	206	91	143	1265	818	44	694	1356	100	1002	463	617	455	61	742	1466	1977	16	1668	1680	2501	683	1088	1280	48	1334	1487	1979	125	37	894	1476	1006	111	186	424	225	850	1314	2182	482	162	226	1233	1298	831	295	901	
4	1427	2924	617	158	2083	1871	76	2437	750	1786	258	1852	2172	1137	1271	2270	289	294	724	2383	35	130	1984	2199	713	2134	1439	2381	1762	1655	2058	1707	666	2641	2692	2554	1173	770	3560	354	1130	2255	680	1209	1930	2759	3042	400	136	2731	
5	52	309	410	1287	27	1088	329	1490	917	612	177	198	233	1240	390	389	123	1564	53	1608	615	1103	150	174	154	1312	49	118	178	133	424	37	282	694	2055	2107	32	1279	857	505	416	1006	146	393	84	704	91	2031	18	64	
6	130	64	400	253	617	1243	296	186	876	29	209	770	680	281	419	702	1503	517	501	120	8	659	121	22	643	823	1313	908	226	278	99	715	55	587	1261	304	2486	2027	1571	44	2966	2095	2195	1033	964	1722	17	1422	367	198	
7	49	46	97	58	121	22	29	1427	2924	617	158	2083	1871	76	2437	750	1786	258	1852	2172	1137	1271	2270	289	294	724	2383	35	130	1984	2199	713	2134	1439	2381	1762	1655	2058	1707	666	2641	2692	2554	1173	770	3560	354	1130	2255	680	
8	848	400	47	209	360	885	1271	116	742	278	986	158	202	720	310	1339	1039	1677	286	450	52	349	91	411	1077	1571	1240	346	1534	1559	432	95	354	708	265	1581	56	2143	2834	751	465	118	1316	196	455	1515	164	1091	291	64	
9	1427	2924	617	158	2083	1871	76	2437	750	1786	258	1852	2172	1137	1271	2270	289	294	724	2383	35	130	1984	2199	713	2134	1439	2381	1762	1655	2058	1707	666	2641	2692	2554	1173	770	3560	354	1130	2255	680	1209	1930	2759	3042	400	136	2731	
